"","coin","index","news_date","content","news_n","subscribers","normal_users","moderators","score","comments","polarity","subjectivity","volatility","day_movement"
"1","0x","Small coins",2017-08-16,"Negative",1,15037,437,0,13,19,0.125,0.375,0.628748245729937,-1.0084940702618
"2","0x","Small coins",2017-08-16,"Neutro",1,15037,62,0,13,13,0,0,0.628748245729937,-1.0084940702618
"3","0x","Small coins",2017-08-16,"Positive",1,15037,7,0,45,76,0.4,0.9,0.628748245729937,-1.0084940702618
"4","0x","Small coins",2017-08-17,"Negative",1,15037,19,0,23,11,0.1,1,0.13476468495616,0.0730286698173273
"5","0x","Small coins",2017-08-17,"Neutro",1,15037,456,0,28,45,0,0,0.13476468495616,0.0730286698173273
"6","0x","Small coins",2017-08-18,"Negative",1,15037,81,0,30,1,0.2,0.4,0.413127391080911,-0.427271135154069
"7","0x","Small coins",2017-08-18,"Neutro",2,15037,39,0,35,29,0,0,0.413127391080911,-0.427271135154069
"8","0x","Small coins",2017-08-18,"Positive",1,15037,181,0,47,17,0.5,0.475,0.413127391080911,-0.427271135154069
"9","0x","Small coins",2017-08-19,"Neutro",2,15037,663,0,39,72,0,0,0.477023438189683,-0.625267331572623
"10","0x","Small coins",2017-08-19,"Positive",1,15037,6,0,30,22,0.25,0.5,0.477023438189683,-0.625267331572623
"11","0x","Small coins",2017-08-20,"Neutro",3,15037,1488,0,41,26,0,0,0.1511860826239,0.0997907896523629
"12","0x","Small coins",2017-08-20,"Positive",1,15037,1,0,34,4,0.55,0.75,0.1511860826239,0.0997907896523629
"13","0x","Small coins",2017-08-21,"Neutro",4,15037,172,0,64,64,0,0.140625,0.261309953119365,0.167593002630999
"14","0x","Small coins",2017-08-21,"Positive",2,15037,462,0,76,90,0.425,0.558333333333333,0.261309953119365,0.167593002630999
"15","0x","Small coins",2017-08-22,"Neutro",1,15037,2,0,59,63,0,0,0.15907789880637,-0.0368599362247438
"16","0x","Small coins",2017-08-23,"Neutro",7,15037,1522,0,170,114,0,0,0.114059297984297,-0.0622592785912475
"17","0x","Small coins",2017-08-23,"Positive",1,15037,683,0,14,15,0.8,0.7,0.114059297984297,-0.0622592785912475
"18","0x","Small coins",2017-08-24,"Neutro",2,15037,909,0,50,41,0,0,0.0519772658373604,-0.00680680942240098
"19","0x","Small coins",2017-08-25,"Positive",1,15037,133,0,11,42,0.2,0.5,0.123271454247248,0.0666492872279192
"20","0x","Small coins",2017-08-26,"Neutro",3,15037,46,0,89,36,0,0,0.141357929906121,0.0170680234902851
"21","0x","Small coins",2017-08-26,"Positive",2,15037,25,0,35,15,0.608333333333333,0.625,0.141357929906121,0.0170680234902851
"22","0x","Small coins",2017-08-27,"Neutro",1,15037,44,0,65,9,0,0,0.0648913016075764,0.00925294386227977
"23","0x","Small coins",2017-08-27,"Positive",1,15037,350,0,30,2,0.8,1,0.0648913016075764,0.00925294386227977
"24","0x","Small coins",2017-08-28,"Neutro",2,15037,427,0,19,26,0,0,0.0879396205995666,0.02481423371229
"25","0x","Small coins",2017-08-28,"Positive",1,15037,2848,0,113,24,0.136363636363636,0.454545454545455,0.0879396205995666,0.02481423371229
"26","0x","Small coins",2017-08-29,"Neutro",2,15037,4022,0,35,9,0,0,0.0842164045866903,-0.0541481848484759
"27","0x","Small coins",2017-08-29,"Positive",2,15037,122,0,75,14,0.45,0.45,0.0842164045866903,-0.0541481848484759
"28","0x","Small coins",2017-08-30,"Neutro",2,15037,1097,0,45,43,0,0,0.0926685444153449,0.0807962205003517
"29","0x","Small coins",2017-08-30,"Positive",1,15037,15842,0,72,42,0.5,1,0.0926685444153449,0.0807962205003517
"30","0x","Small coins",2017-08-31,"Neutro",8,15037,2130,0,263,165,0,0.0625,0.134910547396529,-0.117478925582379
"31","0x","Small coins",2017-09-01,"Neutro",1,15037,34,0,48,17,0,0,0.102119977920005,-0.0348036493667796
"32","0x","Small coins",2017-09-01,"Positive",2,15037,24977,0,78,6,0.35,0.616666666666667,0.102119977920005,-0.0348036493667796
"33","0x","Small coins",2017-09-02,"Neutro",1,15037,135,0,74,64,0,0,0.22341896197945,0.204563894523327
"34","0x","Small coins",2017-09-02,"Positive",2,15037,2578,0,46,14,0.193181818181818,0.472222222222222,0.22341896197945,0.204563894523327
"35","0x","Small coins",2017-09-03,"Neutro",1,15037,102,0,10,7,0,0,0.13627388243898,0.0637458620308402
"36","0x","Small coins",2017-09-04,"Neutro",2,15037,781,0,97,3,0,0,0.267681554318209,0.169842996394059
"37","0x","Small coins",2017-09-04,"Positive",1,15037,35,0,43,9,0.35,0.4625,0.267681554318209,0.169842996394059
"38","0x","Small coins",2017-09-05,"Neutro",2,15037,7552,0,27,35,0,0.5,0.177648842615991,-0.0175994993318786
"39","0x","Small coins",2017-09-06,"Neutro",2,15037,43,0,121,29,0,0,0.0869792453049325,-0.076140951656203
"40","0x","Small coins",2017-09-07,"Neutro",2,15037,233,0,56,9,0,0.2,0.233240842002513,-0.204784558393449
"41","0x","Small coins",2017-09-07,"Positive",1,15037,284,0,13,16,0.2,0.6,0.233240842002513,-0.204784558393449
"42","0x","Small coins",2017-09-08,"Neutro",1,15037,1,0,17,15,0,0,0.241922303444313,0.162286692174812
"43","0x","Small coins",2017-09-08,"Positive",1,15037,130,0,15,22,1,0.3,0.241922303444313,0.162286692174812
"44","0x","Small coins",2017-09-09,"Neutro",1,15037,485,0,29,13,0,0,0.0734389590745272,0.00506922785211777
"45","0x","Small coins",2017-09-11,"Neutro",4,15037,855,0,150,52,0,0,0.140700268104306,-0.115002086380191
"46","0x","Small coins",2017-09-12,"Neutro",1,15037,1921,0,9,6,0,0,0.131941542000712,0.0719195366823406
"47","0x","Small coins",2017-09-13,"Neutro",2,15037,186,0,56,10,0,0,0.177487582925893,0.131050340231334
"48","0x","Small coins",2017-09-14,"Neutro",1,15037,758,0,28,5,0,0.666666666666667,0.234785118076841,0.216635035450834
"49","0x","Small coins",2017-09-15,"Neutro",1,15037,39,0,51,19,0,0.05,0.278207423540486,-0.163482518830017
"50","0x","Small coins",2017-09-17,"Neutro",1,15037,254,0,60,54,0,0,0.11333703806613,0.0135280663299341
"51","0x","Small coins",2017-09-18,"Neutro",1,15037,500,0,13,4,0,0.4,0.127293231821841,-0.10637306694842
"52","0x","Small coins",2017-09-18,"Positive",1,15037,95,0,78,18,0.16,0.54,0.127293231821841,-0.10637306694842
"53","0x","Small coins",2017-09-19,"Neutro",2,15037,1301,0,46,29,0,0,0.121941001166156,0.11446228950546
"54","0x","Small coins",2017-09-21,"Neutro",1,15037,14,0,25,26,0,0,0.148612836840879,0.110359978031854
"55","0x","Small coins",2017-09-22,"Neutro",2,15037,31,0,21,9,0,0,0.0831620587120505,-0.0383133102021905
"56","0x","Small coins",2017-09-24,"Positive",1,15037,5084,0,57,13,0.25,0.5,0.0807265600025155,0.0556756353879408
"57","0x","Small coins",2017-09-25,"Positive",1,15037,51,0,48,22,0.136363636363636,0.5,0.128171766418409,-0.0987503947309063
"58","0x","Small coins",2017-09-26,"Neutro",3,15037,569,0,99,49,0,0,0.0538026618633042,-0.00719686290591289
"59","0x","Small coins",2017-09-27,"Neutro",2,15037,23320,0,56,14,0,0,0.16433238362503,-0.188798863845352
"60","0x","Small coins",2017-10-02,"Neutro",1,15037,448,0,11,5,0,0.4,0.0728654221205846,0.0554422373382486
"61","0x","Small coins",2017-10-03,"Positive",1,15037,304,0,112,24,0.136363636363636,0.454545454545455,0.0914693401178832,0.0383216092805135
"62","0x","Small coins",2017-10-04,"Neutro",2,15037,288,0,45,23,0,0,0.0972668296305768,0.0576661171242206
"63","0x","Small coins",2017-10-06,"Neutro",1,15037,291,0,63,21,0,0,0.117308622238012,-0.113243558477362
"64","0x","Small coins",2017-10-07,"Neutro",2,15037,652,0,60,10,0,0,0.102255299304324,0.0613270274864269
"65","0x","Small coins",2017-10-08,"Positive",1,15037,1,0,29,14,0.383333333333333,0.5,0.0983354998875998,0.0203431918754577
"66","0x","Small coins",2017-10-10,"Neutro",2,15037,1956,0,115,44,0,0,0.127567275416738,-0.0696713117810113
"67","0x","Small coins",2017-10-12,"Neutro",1,15037,489,0,56,5,0,0,0.101469999707171,0.0832358587877622
"68","0x","Small coins",2017-10-12,"Positive",3,15037,2692,0,60,37,0.766666666666667,0.55,0.101469999707171,0.0832358587877622
"69","0x","Small coins",2017-10-13,"Negative",1,15037,12,0,10,8,0.1,0.4,0.135685484842208,-0.0703536977491962
"70","0x","Small coins",2017-10-13,"Neutro",1,15037,275,0,66,8,0,0,0.135685484842208,-0.0703536977491962
"71","0x","Small coins",2017-10-14,"Neutro",2,15037,171,0,72,25,0,0,0.0482934897007968,0.0133162932892297
"72","0x","Small coins",2017-10-14,"Positive",1,15037,2,0,27,3,0.8,0.75,0.0482934897007968,0.0133162932892297
"73","0x","Small coins",2017-10-17,"Negative",1,15037,480,0,18,6,0.3,0.5,0.161138543244014,-0.100235233268847
"74","0x","Small coins",2017-10-17,"Neutro",2,15037,4975,0,68,25,0,0.5,0.161138543244014,-0.100235233268847
"75","0x","Small coins",2017-10-18,"Neutro",1,15037,2724,0,79,13,0,0.5,0.140227039270946,0.00199706127202325
"76","0x","Small coins",2017-10-19,"Neutro",1,15037,236,0,52,21,0,0,0.0682801584819102,-0.0267948548782651
"77","0x","Small coins",2017-10-20,"Neutro",2,15037,274,0,99,19,0,0,0.0808102753058954,0.0631308098724098
"78","0x","Small coins",2017-10-23,"Neutro",1,15037,79,0,17,12,0,0,0.0881720743853097,0.0663617911031767
"79","0x","Small coins",2017-10-29,"Neutro",1,15037,2,0,9,13,0,0.3,0.0819524040796503,-0.00385962736770312
"80","0x","Small coins",2017-10-29,"Positive",1,15037,258,0,14,39,0.7,0.6,0.0819524040796503,-0.00385962736770312
"81","0x","Small coins",2017-10-30,"Neutro",1,15037,852,0,43,1,0,0,0.0636917326186505,0.0266988659575238
"82","0x","Small coins",2017-10-31,"Negative",1,15037,106,0,14,6,0.5,1,0.0848290902946101,0.0785080023395546
"83","0x","Small coins",2017-11-03,"Neutro",3,15037,513,0,100,45,0,0,0.0535081581198005,-0.0506545614291991
"84","0x","Small coins",2017-11-04,"Neutro",3,15037,982,0,93,20,0,0,0.0824195333876391,-0.020842282609302
"85","0x","Small coins",2017-11-07,"Neutro",1,15037,222,0,52,4,0,0,0.118338258300017,-0.126799135294974
"86","0x","Small coins",2017-11-08,"Neutro",4,15037,757,0,73,28,0,0.25,0.111864164624046,-0.0906098587270999
"87","0x","Small coins",2017-11-09,"Neutro",2,15037,1129,0,29,38,0,0.5,0.12210395766954,-0.0513858866664843
"88","0x","Small coins",2017-11-10,"Positive",1,15037,1,0,49,11,0.3,0.533333333333333,0.186771132423398,0.14779798119469
"89","0x","Small coins",2017-11-12,"Neutro",1,15037,1671,0,15,6,0,0,0.14646503027079,0.035589270866481
"90","0x","Small coins",2017-11-13,"Negative",1,15037,1,0,24,1,1,1,0.0887460779864639,-0.0541055765585341
"91","0x","Small coins",2017-11-13,"Neutro",1,15037,1,0,23,2,0,0,0.0887460779864639,-0.0541055765585341
"92","0x","Small coins",2017-11-14,"Neutro",1,15037,47,0,29,3,0,0,0.0651101043301452,-0.0268172776649798
"93","0x","Small coins",2017-11-15,"Neutro",1,15037,14,0,8,15,0,0,0.0521715947649056,0.00872616094028014
"94","0x","Small coins",2017-11-19,"Neutro",1,15037,44,0,18,4,0,0,0.0495117770731875,0.0381251708116971
"95","0x","Small coins",2017-11-20,"Neutro",2,15037,99,0,60,11,0,0,0.0379202309981438,-0.0164730493837766
"96","0x","Small coins",2017-11-20,"Positive",1,15037,1413,0,13,0,0.214285714285714,0.642857142857143,0.0379202309981438,-0.0164730493837766
"97","0x","Small coins",2017-11-23,"Neutro",1,15037,57,0,14,16,0,0,0.0800089280348878,0.0537470454853267
"98","0x","Small coins",2017-11-23,"Positive",1,15037,66,0,20,8,0.136363636363636,0.454545454545455,0.0800089280348878,0.0537470454853267
"99","0x","Small coins",2017-11-24,"Positive",1,15037,12,0,53,21,0.3,0.2,0.111926527848316,-0.0850599529272225
"100","0x","Small coins",2017-11-25,"Neutro",1,15037,7,0,10,2,0,0,0.0663470661255471,0.0238886137345651
"101","0x","Small coins",2017-11-27,"Neutro",1,15037,790,0,81,14,0,0,0.0935918947651557,-0.0319020849010669
"102","0x","Small coins",2017-11-29,"Neutro",2,15037,699,0,88,30,0,0,0.207495469436119,0.157163936454081
"103","0x","Small coins",2017-12-01,"Neutro",1,15037,528,0,8,5,0,0,0.118696034557319,-0.0686919473920982
"104","0x","Small coins",2017-12-02,"Neutro",1,15037,2,0,44,3,0,0,0.144893868394154,-0.0436496956281129
"105","0x","Small coins",2017-12-02,"Positive",1,15037,13,0,11,44,0.1,0.1,0.144893868394154,-0.0436496956281129
"106","0x","Small coins",2017-12-04,"Neutro",1,15037,11,0,13,8,0,0,0.0949084058838547,-0.0538127583752471
"107","0x","Small coins",2017-12-07,"Neutro",2,15037,502,0,29,12,0,0,0.205234463788645,-0.0212572723779657
"108","0x","Small coins",2017-12-08,"Negative",1,15037,22,0,16,41,0.4,0.4,0.20446111531521,-0.0149206746541959
"109","0x","Small coins",2017-12-08,"Neutro",1,15037,9031,0,15,13,0,0.1,0.20446111531521,-0.0149206746541959
"110","0x","Small coins",2017-12-09,"Neutro",1,15037,597,0,33,1,0,0,0.172630622444343,0.0941902101572899
"111","0x","Small coins",2017-12-12,"Neutro",1,15037,714,0,25,11,0,0,0.151080988332189,-0.110855167225282
"112","0x","Small coins",2017-12-12,"Positive",1,15037,51,0,49,31,0.0833333333333333,0.633333333333333,0.151080988332189,-0.110855167225282
"113","0x","Small coins",2017-12-15,"Neutro",2,15037,56,31,33,5,0,0.2,0.170103674096687,0.0554199071165932
"114","0x","Small coins",2017-12-16,"Neutro",1,15037,1,0,53,23,0,0,0.115318198300542,-0.0653886255265316
"115","0x","Small coins",2017-12-18,"Positive",1,15037,37,0,46,16,0.136363636363636,0.5,0.17223895003605,-0.0985213216023559
"116","0x","Small coins",2017-12-19,"Negative",1,15037,177,0,52,11,0.2,0.4,0.185853699932111,-0.103010644205126
"117","0x","Small coins",2017-12-19,"Neutro",2,15037,363,0,43,29,0,0,0.185853699932111,-0.103010644205126
"118","0x","Small coins",2017-12-20,"Positive",1,15037,29,0,37,3,0.1,0.55,0.160630707067897,-0.0217399800328995
"119","0x","Small coins",2017-12-21,"Neutro",1,15037,132,0,40,14,0,0,0.190957087319647,-0.00589596601864927
"120","0x","Small coins",2017-12-22,"Neutro",1,15037,235,0,15,9,0,0,0.349007462115088,0.145871099493826
"121","0x","Small coins",2017-12-23,"Positive",2,15037,228,0,32,46,0.607142857142857,0.471428571428571,0.367764565265226,-0.286168163610034
"122","0x","Small coins",2017-12-25,"Neutro",1,15037,314,0,26,6,0,0,0.121595318541224,-0.0971932726771437
"123","0x","Small coins",2017-12-26,"Neutro",1,15037,61,0,12,17,0,0,0.204400137698294,0.0658724172592772
"124","0x","Small coins",2017-12-27,"Neutro",1,15037,340,0,69,29,0,0,0.133447095623473,-0.0332006029180121
"125","0x","Small coins",2017-12-27,"Positive",1,15037,48,0,27,4,0.25,0.333333333333333,0.133447095623473,-0.0332006029180121
"126","0x","Small coins",2017-12-28,"Negative",1,15037,257,0,8,6,0.3,0.6,0.17561572304936,0.0293778188012639
"127","0x","Small coins",2017-12-28,"Neutro",1,15037,31,0,12,0,0,0,0.17561572304936,0.0293778188012639
"128","0x","Small coins",2017-12-29,"Positive",1,15037,1,0,37,3,0.136363636363636,0.454545454545455,0.114550708094032,-0.0386126648083031
"129","0x","Small coins",2017-12-30,"Neutro",1,15037,107,0,16,27,0,0.357142857142857,0.143763382442236,-0.00702899515357741
"130","0x","Small coins",2017-12-31,"Neutro",1,15037,0,2850,126,48,0,0,0.273557384486875,-0.307060911083418
"131","0x","Small coins",2017-12-31,"Positive",1,15037,188,0,41,5,0.7,0.6,0.273557384486875,-0.307060911083418
"132","0x","Small coins",2018-01-01,"Positive",1,15037,58,0,44,15,0.266666666666667,0.333333333333333,0.1538,0.0294585643911958
"133","0x","Small coins",2018-01-02,"Neutro",1,15037,12177,0,17,4,0,0.1,0.204196516361131,-0.023737242844633
"134","0x","Small coins",2018-01-03,"Neutro",2,15037,755,0,55,27,0,0,0.218059433962264,-0.0832871065676097
"135","0x","Small coins",2018-01-05,"Positive",1,15037,110,0,11,9,0.55,0.425,0.24273893129771,-0.076923076923077
"136","0x","Small coins",2018-01-07,"Neutro",2,15037,783,0,33,20,0,0,0.123376623376623,0.0215827338129495
"137","0x","Small coins",2018-01-08,"Neutro",2,15037,761,0,168,16,0,0,0.467592592592593,-0.394160583941606
"138","0x","Small coins",2018-01-09,"Neutro",1,15037,999,0,37,4,0,0,0.300395256916996,-0.148148148148148
"139","0x","Small coins",2018-01-10,"Negative",1,15037,104,0,14,9,0.075,0.516666666666667,0.281512605042017,0.0182648401826484
"140","0x","Small coins",2018-01-10,"Neutro",1,15037,1,0,62,10,0,0,0.281512605042017,0.0182648401826484
"141","0x","Small coins",2018-01-10,"Positive",1,15037,677,0,11,0,0.0966666666666667,0.303333333333333,0.281512605042017,0.0182648401826484
"142","0x","Small coins",2018-01-11,"Negative",1,15037,524,0,54,2,0.00666666666666667,0.235,0.248847926267281,0.13953488372093
"143","0x","Small coins",2018-01-12,"Neutro",2,15037,331,0,103,3,0,0,0.188340807174888,-0.193548387096774
"144","0x","Small coins",2018-01-12,"Positive",1,15037,438,0,105,9,0.0681818181818182,0.3,0.188340807174888,-0.193548387096774
"145","0x","Small coins",2018-01-13,"Neutro",2,15037,77,0,232,58,0,0,0.124,-0.062780269058296
"146","0x","Small coins",2018-01-15,"Neutro",1,15037,1090,0,23,4,0,0,0.19815668202765,0.116161616161616
"147","0x","Small coins",2018-01-16,"Neutro",1,15037,7,0,16,4,0,0,0.367816091954023,0.0977011494252873
"148","0x","Small coins",2018-01-18,"Neutro",4,15037,2766,0,283,16,0,0,0.163841807909605,-0.0784313725490195
"149","0x","Small coins",2018-01-19,"Neutro",2,15037,60,0,22,7,0,0.3,0.182291666666667,-0.103658536585366
"150","0x","Small coins",2018-01-19,"Positive",1,15037,103,0,133,23,0.1,0.75,0.182291666666667,-0.103658536585366
"151","0x","Small coins",2018-01-20,"Negative",1,15037,130,0,18,12,0.4,0.7,0.124401913875598,-0.114754098360656
"152","0x","Small coins",2018-01-20,"Neutro",2,15037,495,0,22,6,0,0,0.124401913875598,-0.114754098360656
"153","0x","Small coins",2018-01-20,"Positive",1,15037,22,0,23,15,0.433333333333333,0.833333333333333,0.124401913875598,-0.114754098360656
"154","0x","Small coins",2018-01-21,"Negative",1,15037,196,0,90,12,0.4,0.4,0.181372549019608,0.161764705882353
"155","0x","Small coins",2018-01-21,"Neutro",1,15037,22,0,14,7,0,0,0.181372549019608,0.161764705882353
"156","0x","Small coins",2018-01-22,"Neutro",1,15037,175,0,60,4,0,1,0.134078212290503,0.0289017341040463
"157","0x","Small coins",2018-01-23,"Neutro",1,15037,580,0,52,9,0,0.0666666666666667,0.137142857142857,0.0479041916167664
"158","0x","Small coins",2018-01-23,"Positive",2,15037,29,0,120,10,0.193181818181818,0.393939393939394,0.137142857142857,0.0479041916167664
"159","0x","Small coins",2018-01-24,"Neutro",2,15037,140,0,84,9,0,0,0.0828402366863905,-0.0440251572327043
"160","0x","Small coins",2018-01-25,"Neutro",1,15037,4,0,15,1,0,0,0.103448275862069,0.0297619047619048
"161","0x","Small coins",2018-01-25,"Positive",1,15037,108,0,36,7,0.5,0.5,0.103448275862069,0.0297619047619048
"162","0x","Small coins",2018-01-26,"Neutro",2,15037,161,0,85,25,0,0,0.272727272727273,-0.251533742331288
"163","0x","Small coins",2018-01-26,"Positive",1,15037,662,0,65,2,0.2,0.4,0.272727272727273,-0.251533742331288
"164","0x","Small coins",2018-02-01,"Neutro",1,15037,311,0,12,18,0,0,0.253886010362694,0.139784946236559
"165","0x","Small coins",2018-02-01,"Positive",1,15037,41,0,58,61,0.4,1,0.253886010362694,0.139784946236559
"166","0x","Small coins",2018-02-02,"Neutro",2,15037,746,0,68,6,0,0,0.347826086956522,0.192546583850932
"167","0x","Small coins",2018-02-03,"Neutro",1,15037,1,0,17,4,0,0,0.233333333333333,-0.0692307692307691
"168","0x","Small coins",2018-02-03,"Positive",1,15037,70,0,20,17,0.0666666666666667,0.0333333333333333,0.233333333333333,-0.0692307692307691
"169","0x","Small coins",2018-02-04,"Neutro",1,15037,7,0,65,3,0,0,0.244604316546763,0.172661870503597
"170","0x","Small coins",2018-02-05,"Neutro",1,15037,12,0,9,5,0,0,0.365593965517241,0.289461739130435
"171","0x","Small coins",2018-02-07,"Positive",1,15037,1231,0,26,17,0.7,0.6,0.222288793103448,0.0164801980198021
"172","0x","Small coins",2018-02-09,"Neutro",2,15037,474,0,80,18,0,0,0.121739130434783,-0.0555555555555554
"173","0x","Small coins",2018-02-10,"Neutro",1,15037,1,0,75,8,0,0.1,0.178579166666667,0.0350877192982455
"174","0x","Small coins",2018-02-11,"Neutro",1,15037,813,0,28,9,0,0.05,0.142977064220184,0.101785321100917
"175","0x","Small coins",2018-02-12,"Neutro",1,15037,5,0,68,25,0,0,0.093262385321101,-0.0421472685623629
"176","0x","Small coins",2018-02-13,"Negative",1,15037,1,0,8,2,0.2,0.2,0.0863365384615385,0.0603766990291261
"177","0x","Small coins",2018-02-13,"Neutro",1,15037,45,0,17,9,0,0,0.0863365384615385,0.0603766990291261
"178","0x","Small coins",2018-02-15,"Neutro",2,15037,796,438,253,43,0,0,0.278571428571429,-0.296296296296296
"179","0x","Small coins",2018-02-16,"Neutro",1,15037,71,0,31,14,0,0,0.173913043478261,0.0652173913043477
"180","0x","Small coins",2018-02-19,"Neutro",1,15037,44,0,9,10,0,0,0.0650406504065041,-0.0260869565217392
"181","0x","Small coins",2018-02-20,"Neutro",1,15037,108,0,34,10,0,0,0.173553719008264,0.144067796610169
"182","0x","Small coins",2018-02-21,"Positive",1,15037,67,0,28,6,0.136363636363636,0.454545454545455,0.129634615384616,0.0660326732673267
"183","0x","Small coins",2018-02-22,"Neutro",1,15037,954,0,24,2,0,0,0.146378217821782,0.0424601304004703
"184","0x","Small coins",2018-02-23,"Positive",1,15037,7,0,9,1,0.214285714285714,0.642857142857143,0.125324742592619,-0.0868612903691353
"185","0x","Small coins",2018-02-25,"Neutro",1,15037,222,0,76,35,0,0,0.0949979999999999,-0.0612278022392205
"186","0x","Small coins",2018-02-26,"Neutro",1,15037,199,0,39,1,0,0,0.116553271028038,-0.0537731216238337
"187","0x","Small coins",2018-03-01,"Neutro",1,15037,1,0,12,10,0,0,0.0924027244776127,-0.0500446730034331
"188","0x","Small coins",2018-03-02,"Neutro",1,15037,140,0,14,14,0,0,0.0784366336633662,0.0244581495964723
"189","0x","Small coins",2018-03-06,"Neutro",1,15037,54,0,40,16,0,0,0.122340827114183,0.116070030097572
"190","0x","Small coins",2018-03-07,"Neutro",4,15037,920,97,70,30,0,0.0166666666666667,0.156556304378161,0.110680283486563
"191","0x","Small coins",2018-03-09,"Neutro",1,15037,45,0,19,29,0,0,0.122000414856828,-0.0121513047596792
"192","0x","Small coins",2018-03-10,"Neutro",1,15037,1,0,25,6,0,0,0.136652967052747,0.0166822951966255
"193","0x","Small coins",2018-03-12,"Neutro",1,15037,759,0,23,16,0,0,0.128487306950761,0.0793767220958255
"194","0x","Small coins",2018-03-13,"Neutro",1,15037,63,0,31,21,0,0,0.11303332432375,0.0502346795957223
"195","0x","Small coins",2018-03-14,"Neutro",1,15037,1,0,67,16,0,0.1,0.155422801215162,0.128863181492019
"196","0x","Small coins",2018-03-16,"Neutro",1,15037,228,0,23,3,0,0,0.115229367497744,-0.039289323351688
"197","0x","Small coins",2018-03-20,"Neutro",1,15037,176,0,35,4,0,0,0.175966624983676,-0.140685238088126
"198","0x","Small coins",2018-03-22,"Neutro",1,15037,962,0,11,25,0,0.6,0.12505149253378,0.00760404084769956
"199","0x","Small coins",2018-03-26,"Neutro",2,15037,652,0,117,39,0,0,0.365587185459754,-0.107282409662842
"200","0x","Small coins",2018-03-28,"Neutro",2,15037,291,0,56,11,0,0,0.0791910484619338,0.00290400882214583
"201","0x","Small coins",2018-03-29,"Negative",1,15037,39,0,8,27,0.0714285714285714,0.214285714285714,0.229059088941048,0.157228645411115
"202","0x","Small coins",2018-03-30,"Neutro",1,15037,987,0,28,8,0,0.666666666666667,0.111075607577575,0.0380315336837075
"203","0x","Small coins",2018-03-31,"Neutro",1,15037,14,0,24,11,0,0,0.0894567153544709,-0.0667854379170068
"204","0x","Small coins",2018-04-01,"Neutro",1,15037,726,0,46,10,0,0,0.175444362139059,0.0782562794979322
"205","0x","Small coins",2018-04-02,"Neutro",1,15037,522,0,25,3,0,0,0.0748662413828585,-0.0512392542918563
"206","0x","Small coins",2018-04-03,"Positive",1,15037,149,0,22,9,0.136363636363636,0.5,0.17329000015815,-0.11950636957637
"207","0x","Small coins",2018-04-04,"Positive",1,15037,30,0,26,2,0.5,0.5,0.140641307690885,0.123468285033857
"208","0x","Small coins",2018-04-05,"Neutro",1,15037,141,0,25,0,0,0.125,0.265338211505557,-0.046724060887226
"209","0x","Small coins",2018-04-06,"Neutro",1,15037,2809,0,17,19,0,0,0.0842524570769061,0.0477221397630683
"210","0x","Small coins",2018-04-08,"Positive",1,15037,114,0,42,0,0.7,0.9,0.085967517780745,-0.0598959737721501
"211","0x","Small coins",2018-04-10,"Positive",1,15037,9,0,16,14,0.174242424242424,0.414141414141414,0.0634268829965944,-0.0373340154362864
"212","0x","Small coins",2018-04-11,"Positive",1,15037,260,0,26,4,0.5,0.5,0.118472134659961,-0.072395921607807
"213","0x","Small coins",2018-04-13,"Neutro",1,15037,351,0,16,4,0,0,0.09502864575522,0.0142819028115288
"214","0x","Small coins",2018-04-16,"Neutro",2,15037,4,56,80,24,0,0.375,0.0894648808526704,0.0605107379027498
"215","0x","Small coins",2018-04-17,"Neutro",1,15037,13675,0,9,11,0,0,0.147585693632767,-0.111773727041092
"216","0x","Small coins",2018-04-18,"Neutro",2,15037,271,0,83,43,0,0.3,0.10275844635106,-0.104533496335449
"217","0x","Small coins",2018-04-19,"Neutro",1,15037,4033,0,41,6,0,0,0.0443761678651155,0.012629509106558
"218","0x","Small coins",2018-04-20,"Neutro",2,15037,2,0,41,78,0,0.120535714285714,0.0816677431973873,-0.0837990973033255
"219","0x","Small coins",2018-04-25,"Neutro",1,15037,129,0,37,9,0,0,0.205117948717949,0.137931034482759
"220","0x","Small coins",2018-04-28,"Negative",1,15037,15,0,19,10,0.1,0.4,0.116666666666667,-0.132075471698113
"221","0x","Small coins",2018-04-30,"Neutro",1,15037,395,0,15,4,0,0,0.113636363636364,0.0852713178294574
"222","0x","Small coins",2018-05-01,"Neutro",1,15037,1305,0,7,2,0,0,0.0749999999999999,-0.0169491525423729
"223","0x","Small coins",2018-05-03,"Neutro",3,15037,15,0,91,15,0,0,0.126666666666667,-0.122137404580153
"224","0x","Small coins",2018-05-04,"Neutro",1,15037,63,0,53,18,0,0,0.172413793103448,-0.191780821917808
"225","0x","Small coins",2018-05-04,"Positive",1,15037,132,0,49,10,0.5,0.5,0.172413793103448,-0.191780821917808
"226","0x","Small coins",2018-05-05,"Positive",1,15037,1,0,58,8,0.5,0.5,0.109195402298851,0.0574712643678161
"227","0x","Small coins",2018-05-06,"Neutro",1,15037,10,0,10,8,0,0,0.128834355828221,0.01840490797546
"228","0x","Small coins",2018-05-08,"Neutro",1,15037,85,0,28,1,0,0.125,0.124324324324324,-0.0175438596491228
"229","0x","Small coins",2018-05-08,"Positive",1,15037,646,0,69,9,0.475,0.675,0.124324324324324,-0.0175438596491228
